date,title,sentiment
2023-05-30 9:00,"삼성전자, 갤럭시·노트북·TV서 '자가 수리' 국내 도입",1.0
2023-05-30 10:43,"삼성전자 갤럭시, 이제 내손으로 고친다",1.0
2023-05-30 11:09,"[특징주] 삼성전자·SK하이닉스, 52주 신고가 기록",1.0
2023-05-30 14:01,"""청년에 일경험""…SK하이닉스·삼성전자 등 2100명 모집",1.0
2023-05-30 11:21,작년 주주 배당액 1위는 삼성전자…총 배당금은 6.7%↓,0.0
2023-05-30 9:29,갤S22·갤북 스스로 고친다…삼성전자 ‘자가 수리’ 국내 도입,1.0
2023-05-30 9:26,"""이번엔 중동""…삼성전자, 두바이 리조트서 2023년형 TV 공개",1.0
2023-05-30 11:06,"삼성전자, 두바이서 2023년형 네오QLED 신제품 선봬",1.0
2023-05-30 11:06,"""이제 집에서 고치세요""...삼성전자, '자가 수리' 국내 도입",1.0
2023-05-30 18:00,"""머스크 불만 터트릴 지경인데""…삼성전자·하이닉스 웃는 이유",1.0
2023-05-30 18:11,"삼성전자 신고가 행진…""8만전자 간다""",1.0
2023-05-30 9:14,"""삼성전자, 책임경영 필요성↑…이재용 등기이사 복귀 가능성""",1.0
2023-05-30 16:48,"삼성전자, 외국인 폭풍매수에 '7만전자 굳히기'",1.0
2023-05-30 9:11,"삼성전자, 7.1만원 진입…반도체株 훈풍 지속[특징주]",1.0
2023-05-30 9:13,"""삼성전자가 또?""...신제품에 적용한 '첨단 기술'은?",1.0
2023-05-30 10:01,[특징주] 날개 단 삼성전자?SK하이닉스…또 52주 최고가 경신,1.0
2023-05-29 21:11,돈다발 들고 달려온 외국인들…“삼성전자 사고 싶습니다”,1.0
2023-05-30 12:02,"신고가 행진 삼성전자·SK하이닉스…""반도체 질주는 계속된다""",1.0
2023-05-30 18:17,"반갑다, 삼성전자'…반도체주 랠리에 1년만에 7만2000원선 회복",1.0
2023-05-30 11:35,삼성전자 '보행 보조 로봇' 특허 또 추가…'봇핏' 출시 임박?,1.0
2023-05-30 10:17,"[증시신상품] 한화투자증권, '한화 델타랩 삼성전자우' 출시",1.0
2023-05-30 9:48,삼성전자·SK하이닉스 연고점…반도체주 랠리 이어질까,1.0
2023-05-30 9:04,삼성전자 vs TSMC…'AI 붐' 반도체 수혜주는 어디?,1.0
2023-05-30 15:53,"코스피, 1년 만에 2580선…'파죽지세' 삼성전자 7.2만대",1.0
2023-05-30 9:27,반도체株 상승 랠리…삼성전자·SK하이닉스 신고가 행진,1.0
2023-05-30 10:34,"[STOCK] ""땡큐 엔비디아"" 삼성전자·SK하이닉스, 나란히 신고가",1.0
2023-05-30 0:01,"동학 개미들, '9만전자' 바라보는 삼성전자 파는 까닭은?",1.0
2023-05-30 11:01,삼성전자 '8만전자'가 코앞?...52주 신고가 경신,1.0
2023-05-30 17:14,코스피 1% 넘게 오르며 ‘연중 최고치’···삼성전자·SK하이닉스·LG전자 일제히 ‘신고가’,1.0
2023-05-30 16:33,"""얼마만의 '양전'인지 눈물이…"" 삼성전자, 연일 신고가 행진(종합)",1.0
2023-05-30 9:29,"삼성전자, 52주 신고가 경신…반도체주 상승에 7만원대 안착[특징주]",1.0
2023-05-30 10:40,"삼성전자, ‘9만전자’ 가나...연휴 후에도 상승세, 52주 신고가",1.0
2023-05-30 17:03,‘7만전자’ 안착에 삼성그룹·반도체 ETF ‘훈풍’ [투자360],1.0
2023-05-30 9:36,"“삼전 효과 누리자” 한화투자증권, ‘한화 델타랩 삼성전자우’ 출시",1.0
2023-05-30 8:45,"삼성전자, 2023년형 TV 신제품으로 중동 소비자 공략",1.0
2023-05-30 8:45,"삼성전자, 2023년형 TV 신제품으로 중동 소비자 공략",1.0
2023-05-29 22:14,“삼성전자 또 외계인 납치했나”...이번엔 ‘바람과 빛’ 첨단기술,1.0
2023-05-30 9:37,"""AI 반도체 수요 늘어난다""…삼성전자·SK하이닉스 신고가 경신",1.0
2023-05-30 9:14,"[특징주] 삼성전자·SK하이닉스, 미국발 훈풍에 나란히 '신고가'",1.0
2023-05-30 9:22,"삼성전자, 두바이 리조트서 2023년형 TV 공개",1.0
2023-05-29 20:01,"[DD 주간브리핑] 삼성전자·SK하이닉스 '활짝'… 반도체 강세, 이번주에도 이어질까",1.0
2023-05-30 9:39,코스피·코스닥 상승 출발…삼성전자 1.85% ↑,1.0
2023-05-30 11:38,삼성전자·SK하이닉스 '훈풍'…日 증시 주춤,1.0
2023-05-30 16:51,"삼성전자·SK하이닉스, ‘글로벌 AI 반도체 90% 점유’ 덕에 주가 ‘쭉쭉’…다음 체크포인트는? [투자360]",1.0
2023-05-30 11:43,"제일건설㈜, 삼성전자 평택캠퍼스 직주근접 `지제역 반도체밸리 제일풍경채 2BL` 분양예정",1.0
2023-05-30 14:47,"삼성전자, 2023년형 TV 신제품으로 중동 시장 공략 강화",1.0
2023-05-30 15:34,"[특징주] 삼성전자·SK하이닉스, 미국발 훈풍에 나란히 '신고가'(종합)",1.0
2023-05-30 9:42,"삼성전자, 중동서 프리미엄TV 라인업 공개…현지 공략",1.0
2023-05-30 10:01,"삼성전자, 갤럭시 ‘자가 수리 프로그램’ 국내 도입 … 사용자 선택권 확대",1.0
2023-05-30 14:23,삼성전자·SK하이닉스 또 희소식…엔비디아 재고 4년새 감소 [김익환의 컴퍼니워치],1.0
2023-05-30 14:23,"한화투자증권, 랩어카운트 '델타랩 삼성전자우' 출시",1.0
2023-05-30 9:21,"삼성전자, 중동서 프리미엄 TV 공개… 현지 콘텐츠 협업도 강화",1.0
2023-05-30 16:08,"[시황] 코스피, 외인 '사자'에 연중 최고점…삼성전자 7.2만 원 돌파?",1.0
2023-05-30 6:01,[하루만보 하루천자]삼성전자가 요즘 꿀잠에 빠진 이유,1.0
2023-05-30 9:16,삼성전자 52주 신고가 갈아치웠다…반도체株 불뿜으며 상승,1.0
2023-05-30 15:56,"""베트남, 삼성전자 등 외국기업에 보조금 지급 고심""",1.0
2023-05-30 9:22,"삼성전자, 두바이서 2023년형 TV 공개",1.0
2023-05-30 16:02,"삼성전자 2.84% 오른 7만2300원…코스피, 외인 '사자'에 2580선 마감",1.0
2023-05-30 8:45,"삼성전자, 2023년형 TV 신제품으로 중동 소비자 공략",1.0
