date,title,sentiment
2023-05-30 9:52,"카카오, 세 번째 ESG보고서…'서비스 장애' 대응 소개",0
2023-05-30 11:10,"카카오페이증권, 미국 주식 환율우대 신청 서비스 오픈",1
2023-05-30 9:24,"카카오, 2022 ESG 보고서 발간…지배구조 선진화 나선다",1
2023-05-30 11:01,카카오페이 “대출갈아타기 사전신청자 70% 1금융권 고객”,1
2023-05-30 10:42,"패션바이카카오, ‘헬로 썸머 위크’ 진행",1
2023-05-30 11:25,카카오TV의 씁쓸한 퇴장…위기의 국내 OTT,0
2023-05-30 16:16,네이버 수준으로 설비투자 늘리는 카카오… ‘먹통 카톡’ 오명 벗을까,1
2023-05-30 3:02,"카카오, 문어발식 확장 멈춘다더니… 계열사 더 늘었다",0
2023-05-30 8:22,SPC·카카오·매일유업…사옥을 짓지 않는 이유는,
2023-05-30 9:58,관광公·카카오·티맵 등 외래객 교통편의 공조 활발,1
2023-05-30 5:05,카카오 이어 악사손보… ‘교보지주 꿈’ 이룰까,1
2023-05-30 9:19,"크리스피크림도넛, 카카오톡 선물하기 전용 굿즈 상품 출시",1
2023-05-30 9:55,"카카오페이증권, 미 주식 협의수수료 신설…월 5억 이상 거래 조건",1
2023-05-30 16:23,카카오 등 IT업체도 알뜰폰 사업 속도···통신비 내려갈까,1
2023-05-30 17:52,[기자의 눈] 광고창 된 카카오톡,0
2023-05-30 10:32,"멋지다 박연진'…배우 임지연, 명예경찰 됐다",
2023-05-30 16:42,"尹대통령, 한상혁 방통위원장 면직안 재가 초읽기",
2023-05-30 12:01,31일부터 신용대출·카드론 갈아탄다,
2023-05-30 11:19,"“당장 안하면 호갱됩니다” 15분 클릭, 대출이자 수십만원 아끼세요",
2023-05-30 5:27,"돈봉투 체포동의안'에 민주당, 간호법 재의결로 '입법 반격'",
2023-05-30 12:34,더 낮은 금리 신용대출 발견하면? 15분 만에 갈아탄다,
2023-05-30 15:40,비공개 선고 읍소까지…'강제추행' 前아이돌 1심 징역형,0
2023-05-30 6:01,"""내일부터 금리 경쟁 불붙는다""…'대환대출플랫폼' 31일 본격 출시",
2023-05-30 9:52,방한관광객 이동 편리해진다…관광공사-교통업계 맞손,1
2023-05-30 13:06,‘앗! 여기가 더 낮네’ 휴대전화로 내일부터 신용대출 갈아탈 수 있다,
2023-05-30 17:07,"초격차 기술로 불황 넘자'…삼성·SK, 차세대 D램 잇달아 양산",1
2023-05-30 17:06,"경찰, '한동훈 개인정보 유출 의혹'…MBC 사옥 압수수색 시도(종합)",
2023-05-30 15:35,"경찰, 거액 수임료 의혹 민주당 양부남 법률위원장 영장 신청",
2023-05-30 16:01,"盧부부 명예훼손' 與정진석, 박원순 탓…""비방의도 없었다""",
2023-05-30 11:48,2011년 이후 설탕 가격 최고…'정부 관세 인하 처방 나서',
2023-05-30 6:02,민주노총 대규모 도심집회에…경찰 '과격진압' 강행?,
2023-05-30 12:07,"건재한 '관피아'?…""농림부·해수부 출신 10명 중 8명 재취업""",
2023-05-30 9:54,"젤렌스키 ""시점 결정됐다""…우크라이나 대반격 초읽기",
2023-05-30 5:17,北 위성발사 예고에 정부 강력 경고…PSI 개시로 긴장 고조,
2023-05-30 11:41,감소세 이어간 미분양…전세 기피 현상도 지속,
