date,title,label
2023-06-05 10:50,"SK하이닉스, 딱정벌레 닮은 '53g' 외장형 SSD 출시",1
2023-06-05 10:00,"1GB 파일 1초만에 전송…SK하이닉스, 첫 포터블 SSD 선봬",1
2023-06-05 15:16,"“SK하이닉스, DDR5 수요 증가 덕분에 good~”...신한證 목표가↑ [오늘, 이 종목]",1
2023-06-05 18:33,“근로자에게 불리하지 않다”…SK하이닉스 ‘업적급 리스크’ 덜었다,1
2023-06-05 9:33,"[주가동향] ""SK하이닉스 내년 판매 증가 기대“... 신한투자證, 목표가 ‘↑’",1
2023-06-06 10:53,"SK하이닉스, 소비자용 포터블 SSD 출시",1
2023-06-05 16:57,"[단독]SK하이닉스, 내년 청주에 10층 규모 ‘사무동’ 완공",1
2023-06-05 19:08,"SK하이닉스, 엔비디아發 낙수효과…삼성은 글쎄",1
2023-06-05 10:11,"‘11만닉스’ 된 SK하이닉스, 교환사채 2000만주 증시에 언제 풀릴까",1
2023-06-05 7:55,"SK하이닉스, 메모리 고정가격 상승 중…목표가 21%↑-현대차",1
2023-06-06 4:10,“하이닉스 목표 13만원… 코스피 하반기에 2750″,1
2023-06-06 3:03,"[단신]SK하이닉스, 휴대용 SSD ‘비틀 X31’ 출시",1
2023-06-01 17:39,반도체 불황의 충격파 SK하이닉스 '낸드 부진',0
2023-06-05 7:58,[김대호 박사의 오늘 기업·사람] 빈그룹·테슬라·현대차·HL한라·만도·마이크론·삼성전자·SK하이닉스,
2023-05-31 10:50,"SK하이닉스, 'SUPEX추구상' 수상…""D램 혁신·소재 국산화 공로""",1
2023-05-31 21:04,"SK하이닉스, SK그룹 ‘수펙스추구상’ 2개 부문 수상",1
2023-05-31 15:26,"SK하이닉스 LPDDR5X 개발팀, ‘SK수펙스 추구상’ 혁신상",1
2023-05-30 6:07,"반도체 훈풍 언제까지?…증권가 ""三電·하이닉스 더 오른다""",1
2023-05-30 18:03,SK하이닉스 서버용 D램 10나노급 인텔서 첫 검증,1
2023-05-31 16:25,"SK하이닉스, 초격차 차세대 D램으로 시장 지배력 확장",1
2023-05-30 11:05,"1초에 영화 10편 처리…SK하이닉스, 인텔서 차세대 D램 검증",1
2023-05-30 16:32,"[기업] '1초에 영화 10편'...SK하이닉스, 가장 빠른 D램 개발",1
2023-05-31 9:13,"SK하이닉스, 2024년 실적 반등에 주목 - SK증권",1
2023-06-05 9:22,코스피 상승 출발…삼전·하이닉스 반도체株 '숨고르기',1
2023-05-30 15:18,3위로 밀린 SK하이닉스 ‘가장 빠른’ D램으로 부활 노린다,1
2023-05-29 14:54,"재고 쌓이고, 판매 부진…SK하이닉스, '위기'",0
2023-06-01 9:42,“엔비디아 약발 벌써 끝?”…삼성전자·SK하이닉스 동반 약세,0
2023-05-31 12:41,"SK하이닉스, 모바일 D램·소재 국산화 성과로 '수펙스 추구상' 수상",1
2023-06-02 10:19,"SK하이닉스, 멀어지는 낸드 2위…솔리다임 발목 [소부장반차장]",0
2023-06-04 8:30,“6개월 뒤 삼전·하이닉스 운명?” 지금 주가 보면 안다는데 [김민지의 칩만사!],
2023-05-25 10:51,"SK하이닉스 ""CXL, 곧 상용화…서버에 활용""",1
2023-05-30 9:30,"SK하이닉스 10나노급 5세대 DDR5, 세계 최초 데이터센터 호환성 검증 돌입",1
2023-05-30 10:15,"1초에 영화 10편 전송'…SK하이닉스 DDR5, 인텔 호환성 검증 돌입",1
2023-06-02 5:20,"삼성전자·SK하이닉스 실적 2분기 바닥론…""반도체 겨울 끝이 보인다""",0
2023-05-25 16:48,"‘D램 최악 불황’ 1분기…마이크론, SK하이닉스 넘고 2위 등극",1
2023-06-04 9:34,코스피 주간 기관 순매도 1위 'SK하이닉스',0
2023-06-01 9:32,[특징주] 美 반도체주 급락에 삼성전자·SK하이닉스도 주춤,0
2023-06-05 15:47,[2024학년도 대입 전략] 삼성전자 510명·하이닉스 100명 등 총 690명…의·약학 계열 이어 자연계 최상위학과 발돋움,1
2023-05-30 15:59,"삼전·하이닉스 ""나를 따르라""…LG전자 '신고가'",1
2023-05-30 9:48,삼성전자·SK하이닉스 연고점…반도체주 랠리 이어질까,1
2023-05-30 10:34,"[STOCK] ""땡큐 엔비디아"" 삼성전자·SK하이닉스, 나란히 신고가",1
2023-05-30 15:34,"[특징주] 삼성전자·SK하이닉스, 미국발 훈풍에 나란히 '신고가'(종합)",1
2023-05-30 10:01,[특징주] 날개 단 삼성전자?SK하이닉스…또 52주 최고가 경신,1
2023-06-02 18:08,1년만에 2600 탈환한 코스피…삼전·하이닉스가 끌어올렸다,1
2023-05-31 16:38,"北 발사 '시큰둥' 외국인, 삼전·하이닉스 또 샀다…코스피는 ↓",0
2023-05-30 9:18,"코스피, 장중 연고점…삼전·하이닉스 또 신고가",1
2023-05-30 9:30,"SK하이닉스, '5세대 DDR5' 세계 최초 인텔 제공…""현존 최고 속도""",1
2023-05-25 14:05,"SK하이닉스, 美 IT 전시회서 SSD 신제품 소개",1
2023-05-31 11:00,"거침 없는 삼성전자, 나흘 연속 신고가…SK하이닉스는 숨고르기",1
2023-05-26 9:25,엔비디아 폭등에…삼성전자·SK하이닉스 동반 강세,1
2023-05-25 17:39,"中 마이크론 제재, 글로벌 반도체 복마전...삼성전자·SK하이닉스 '불확실성 증폭'",0
2023-05-25 9:34,"SK하이닉스, ‘델 테크놀로지스 월드 2023’서 최신 메모리 제품 전시",1
2023-05-30 18:35,삼전·SK하이닉스 新고가… 더 오르나,1
2023-05-25 18:09,"마이크론, D램 2위 SK하이닉스 역전…2013년 이후 처음",0
2023-05-30 11:05,"""현존 최고 속도""…SK하이닉스 10나노급 5세대 DDR5, 인텔 호환성 검증",1
2023-05-31 6:10,"차세대 기술 선보인' 삼성전자·SK하이닉스, 위기 정면 돌파",1
2023-05-31 4:31,"미중 고래 싸움에 낀 삼성전자·SK하이닉스 ""눈치경영 할 수밖에""",0
2023-06-05 10:35,"SKT 일본법인, SK하이닉스·SK스퀘어와 JV로 전환",1
2023-06-01 17:29,세계 낸드플래시 매출 16% 급감…SK하이닉스 24% 감소,0
2023-06-05 18:05,"SK하이닉스, 청주에 '복합 사무동' 짓는다…""부족 공간 확보 차원""",1
2023-05-30 9:11,"SK하이닉스, 10나노급 5세대 DDR5 데이터센터 호환성 검증 돌입",1
2023-05-31 10:10,"SK하이닉스 임직원, SK그룹 '수펙스추구상' 2개부문 수상",1
2023-05-30 11:09,"[특징주] 삼성전자·SK하이닉스, 52주 신고가 기록",1
2023-05-30 14:01,"""청년에 일경험""…SK하이닉스·삼성전자 등 2100명 모집",1
2023-05-31 10:59,"SK하이닉스, 그룹 최고 권위 '수펙스 추구상' 수상",1
2023-06-01 15:47,반도체 불황 속 ‘낸드 부진’ 시달리는 SK하이닉스,0
2023-05-30 9:42,"SK하이닉스, ""차세대 DDR5, 인텔 인증 받는다""",1
2023-06-01 17:58,"1분기 낸드 매출 16%↓…""SK하이닉스, 점유율 하락에 3위 '위태'""",0
2023-06-02 7:25,"美, 삼성전자·SK하이닉스 '압박'하고 '트집'잡고",0
2023-05-31 5:40,"""반도체의 시간이 왔다""…질주하는 삼성전자·하이닉스",1
2023-06-02 18:30,마이크론·키옥시아에 밀린 SK하이닉스?…'점유율 우려' 기우인 이유,0
2023-05-31 14:19,"SK하이닉스, 그룹 최고 권위 ‘수펙스추구상’서 2개 부문 수상",1
2023-05-30 10:49,“SK하이닉스 상승세 시작에 불과?” 세계서 가장 빠른 ‘신무기’ 예고에 시선 집중 [비즈360],1
2023-06-01 17:12,1분기 낸드 3위 SK하이닉스...2위 키옥시아와 격차 더 벌어져,0
2023-05-30 10:21,"“1초에 5GB 영화 10편 처리”...SK하이닉스, 차세대 D램 인텔 호환 검증",1
2023-05-31 15:01,챗GPT가 앞당긴 '반도체의 시간'…삼성전자?SK하이닉스 기대감↑,1
2023-05-31 13:51,"SK하이닉스, 수펙스추구상 `이노베이션·시너지상`",1
2023-05-31 7:55,"SK하이닉스, 엔비디아 훈풍에 수혜…목표가↑-SK",1
2023-05-30 14:20,"“1초에 영화 10편 처리” SK하이닉스, 인텔과 DDR5 호환성 검증",1
2023-06-02 15:14,"위태로운 2인자' SK하이닉스…""D램도, 낸드도 불황 타격 컸다""",0
2023-05-30 11:17,"SK하이닉스, AI 서버시장 주도권 잡는다",1
2023-05-31 5:05,"SK하이닉스, 기업용 서버로 불황 뚫는다",1
2023-05-26 11:10,"혼돈의 D램 시장…SK하이닉스, 10년만에 2위 내줬다",0
2023-05-30 14:28,SK하이닉스 '현존 최고속 D램' 인텔 납품 위한 검증 절차 돌입,1
2023-05-30 23:20,"3위로 밀린' SK하이닉스, 인텔 손잡고 DDR5 선점 노린다 [소부장반차장]",1
2023-05-30 11:03,"업계 최선단' SK하이닉스 서버D램, 세계 최초 데이터센터 인증 돌입",1
2023-05-31 7:59,"[클릭 e종목]""SK하이닉스, 내년 턴어라운드…목표가 18%↑""",1
2023-05-30 9:35,"SK하이닉스 10나노급 5세대 DDR5, 업계 첫 인텔 호환성검증 돌입",1
2023-05-30 8:36,"SK하이닉스 10나노급 5세대 DDR5, 데이터센터 호환성 검증 돌입",
2023-05-30 9:47,"""1초에 5GB 영화 10편 처리"" SK하이닉스, 인텔 공급 D램 호환 검증",1
2023-05-30 11:23,"SK하이닉스, 10나노급 5세대 DDR5 검증",1
