date,title
2023-06-05 15:07:01,"네이버, 쇼핑라이브로 SME ‘지원사격’…상생 효과 ‘뚜렷’"
2023-06-05 12:16:01,치솟는 구글 점유율에 흔들리는 네이버·카카오
2023-06-06 09:01:25,서울시 경보문자보다 네이버 장애가 더 떨렸다[사이다IT]
2023-06-06 07:41:01,"네이버 쇼핑라이브, '상생라이브' 지원 확대"
2023-06-05 17:46:08,"[단독] 네이버, 日검색시장 디딤돌 삼아 … 한국형 챗GPT 글로벌 공략"
2023-06-05 03:21:01,[朝鮮칼럼] 문제는 뉴스제평위가 아니라 네이버·카카오다
2023-06-05 14:46:58,"""나 떨고 있니?"" 카카오톡, 네이버 제친 유튜브에 추월 위기"
2023-06-05 14:58:21,"KT·네이버, '초거대AI 생태계구축사업' 공급자로 선정"
2023-06-04 14:37:23,"네이버 오피스, 11년만에 서비스 종료… ""11월까지 운영"""
2023-06-05 16:58:01,"네이버·카카오 ""종이→전자문서로 디지털 친환경 앞장서""(종합)"
2023-06-05 18:04:01,"'사우디 손 잡은' 네이버, 국가 ICT 수출 앞장선다"
2023-06-05 09:34:03,"결국 '톈안먼'이었나, 中서 네이버 일부 접속 가능"
2023-06-06 09:03:19,"[깊이보기] 구글·네이버·MS, 한국 AI 검색시장 '삼국지' 승자는?"
2023-06-05 10:02:01,K-검색 왕좌가 흔들린다… 네이버 시장점유율 1년 새 10% 급감
2023-06-05 14:14:01,국민은 새벽 사이렌에 '네이버'를 찾았다 [데스크 칼럼]
2023-06-05 17:56:01,"네이버 투자 리콘랩스, 아기유니콘 선정"
2023-06-04 17:39:01,네이버 지도에 '동네 맛집' 자동 등록된다
2023-06-05 17:11:03,“이젠 검색도 구글로 합니다”…네이버 주주들의 한숨이 깊어진다 [투자360]
2023-06-06 14:03:01,절대강자는 옛말?…구글 맹추격에 카카오톡·네이버 입지 흔들
2023-06-02 09:22:05,"태평양도서 5개국, 네이버 1784 방문…""IT 기술력이 국가 경쟁력"""
2023-06-06 10:01:04,[IT돋보기] AI주권 외치는 네이버클라우드의 초거대AI 차별점은 '이것'
2023-06-05 10:35:01,"대학생 여행 정보 탐색, 네이버보다 '인스타·유튜브'서 더 한다"
2023-06-06 06:01:30,"""내 작품 도둑질 그만""…네이버웹툰서 'AI웹툰 보이콧' 운동 쇄도"
2023-05-31 08:11:44,北 발사체 쏘자 '네이버'도 한때 모바일 버전 접속장애(종합)
2023-05-31 07:47:03,"""이게 뭔일?"" 부실 경보문자에 네이버 접속폭주"
2023-06-06 12:28:07,"진격하는 빅테크...유튜브, 첫 사용자 1위 눈앞, 흔들리는 카톡·네이버는 규제·논란에 이중고"
2023-05-31 11:35:25,"檢, '매크로 돌려 네이버 검색결과 조작' 일당 재판에"
