date,title,sentiment
2023-05-30 09:00:00,"['삼성전자', ',', '갤럭시·노트북·TV서', ""'"", '자', '가', '수', '이', '리', ""'"", '국내', '도입']",0
2023-05-30 11:09:05,"['[', '특징주', ']', '삼성전자·SK하이닉스,', '52주', '신', '고', '가', '아', '기록']",0
2023-05-30 11:21:01,"['작년', '주주', '배당액', '1위', '는', '삼성전자…총', '배당금', '은', '6.7%↓']",0
2023-05-30 09:29:00,"['갤S22·갤북', '스스로', '고친다…삼성전자', '‘자', '가', '수리’', '국내', '도입']",0
2023-05-30 14:01:04,"['""', '청년', '에', '일경험""…SK하이닉스·삼성전자', '등', '2100명', '모집']",0
2023-05-30 09:16:03,"['삼성전자', '갤럭시', '제품', '직접', '수리', '가능', '하', '어', '지', 'ㄴ다']",1
2023-05-30 09:26:32,"['""', '이번', '엔', '중동""…삼성전자,', '두바', '이', '리조트', '서', '2023년형', 'TV', '공개']",0
2023-05-30 11:06:43,"['삼성전자', ',', '두바이', '서', '2023년형', '네오QLED', '신제품', '선봬']",0
2023-05-30 11:06:07,"['""', '이제', '집', '에서', '고치', '세', '요', '""', '...', '삼성전자', ',', ""'"", '자', '가', '수', '이', '리', ""'"", '국내', '도입']",0
2023-05-30 18:00:07,"['""머스크', '불', '만', '터트리', 'ㄹ', '지경인데""…삼성전자·하이닉스', '웃', '는', '이유']",0
2023-05-30 18:11:03,"['삼성전자', '신', '고', '가', '아', '행진…""8만전자', '갈', 'ㄴ다', '""']",1
2023-05-30 09:14:45,"['""', '삼성전자', ',', '책임경영', '필요성↑…이재용', '등기이사', '복귀', '가능성', '""']",1
2023-05-30 16:48:03,"['삼성전자', ',', '외국', '이', 'ㄴ', '폭풍매수', '에', ""'7만전자"", '굳히기', ""'""]",1
2023-05-30 09:11:02,"['삼성전자', ',', '7.1만원', '진입…반도체株', '훈풍', '지', '속', '[', '특징주', ']']",0
2023-05-30 09:13:41,"['""', '삼성전자', '가', '또', '?""...', '신제품', '에', '적용', '하', 'ㄴ', ""'"", '첨단', '기술', ""'"", '은', '?']",0
2023-05-30 10:01:01,"['[', '특징주', ']', '날개', '단', '삼성전자‧SK하이닉스…또', '52주', '최고', '가', '경신']",0
2023-05-29 21:11:01,"['돈다발', '들', '고', '달리', '어', '오', 'ㄴ', '외국인들…“삼성전자', '사', '고', '싶습니다”']",0
2023-05-30 12:02:14,"['신', '고', '가', '아', '행진', '삼성전자·SK하이닉스…""반도체', '질주', '는', '계속', '되', 'ㄴ다', '""']",1
2023-05-30 18:17:01,"[""'"", '반갑', '다', ',', ""삼성전자'…반도체주"", '랠리', '에', '1년', '만에', '7만2000원', '선', '회복']",1
2023-05-30 11:35:41,"['삼성전자', ""'"", '보행', '보조', '로봇', ""'"", '특허', '또', ""추가…'봇핏'"", '출시', '임박', '?']",0
2023-05-30 10:17:34,"['[', '증시신상품', ']', '한화투자증권', ',', ""'"", '한화', '델타랩', '삼성전자우', ""'"", '출시']",0
2023-05-30 09:48:04,"['삼성전자·SK하이닉스', '연고점…반도체주', '랠리', '이', '이', '어', '지', 'ㄹ까']",0
2023-05-30 09:04:01,"['삼성전자', 'vs', ""TSMC…'AI"", '불', 'ㅁ', ""'"", '반도체', '수혜주', '는', '어디', '?']",0
2023-05-30 15:53:07,"['코스피', ',', '1년', '만', '에', ""2580선…'파죽지세'"", '삼성전자', '7.2만대']",1
2023-05-30 10:34:46,"['[', 'STOCK', ']', '""', '땡큐', '엔비디아""', '삼성전자·SK하이닉스,', '나란히', '신고', '가']",0
2023-05-30 00:01:16,"['동학', '개미', '들', ',', ""'9만전자'"", '바라', '아', '보', '는', '삼성전자', '팔', '는', '까닭', '은', '?']",1
2023-05-30 11:01:49,"['삼성전자', ""'8만전자'"", '가', '코앞', '?...', '52주', '신', '고', '가', '아', '경신']",0
2023-05-30 17:14:01,"['코스피', '1', '%', '넘', '게', '오르', '며', '‘연중', '최고치’···삼성전자·SK하이닉스·LG전자', '일제히', '‘신고가’']",0
2023-05-30 16:31:34,"['[', '기업', ']', '삼성전자', ',', '스마트폰', '등', ""'"", '자가수리', ""'"", '서비스', '시작']",1
