date,title
2021-09-15 20:12:22,"[단독] 김범수 동생, 카카오 '옥상옥 지주사'서 퇴직금만 14억"
2021-09-15 06:01:03,'카카오 세상' 꿈꿨지만…택시 90% 완전 장악이 독 됐다
2021-09-15 19:52:41,"[단독]국회 정무위, 카카오 김범수 '공정위 국감' 증인대 세운다"
2021-09-15 09:29:19,"카카오엔터테인먼트, 경력 개발자 첫 공개채용…최대 세 자릿수 규모"
2021-09-15 07:27:02,카카오 김범수 공정위 조사…“고의성 입증시 검찰 고발”
2021-09-15 10:39:38,독점이라 불릴만…브랜드택시 10대 중 8대 '카카오 블루'
2021-09-14 16:24:27,"""카카오당하다"" 촉발한 '카카오T'…성난 택시민심 돌릴까(종합)"
2021-09-15 16:58:25,"""카카오 논란 알지만…스타트업 M&amp;A 위축 안되길""(종합)"
2021-09-14 14:07:05,(3보)카카오 골목상권 논란 사업서 철수한다
2021-09-15 10:38:43,[단독] 카카오뱅크도 이달 8일부터 신용대출 한도 연봉 이내 축소
