date,title,self_label
2021-09-15 20:12,"[단독] 김범수 동생, 카카오 '옥상옥 지주사'서 퇴직금만 14억",0
2021-09-15 6:01,카카오 세상' 꿈꿨지만…택시 90% 완전 장악이 독 됐다,0
2021-09-15 19:52,"[단독]국회 정무위, 카카오 김범수 '공정위 국감' 증인대 세운다",
2021-09-15 9:29,"카카오엔터테인먼트, 경력 개발자 첫 공개채용…최대 세 자릿수 규모",
2021-09-15 7:27,카카오 김범수 공정위 조사…“고의성 입증시 검찰 고발”,
2021-09-15 10:39,독점이라 불릴만…브랜드택시 10대 중 8대 '카카오 블루',
2021-09-14 16:24,"""카카오당하다"" 촉발한 '카카오T'…성난 택시민심 돌릴까(종합)",
2021-09-15 16:58,"""카카오 논란 알지만…스타트업 M&amp;A 위축 안되길""(종합)",
2021-09-14 14:07,(3보)카카오 골목상권 논란 사업서 철수한다,
2021-09-15 10:38,[단독] 카카오뱅크도 이달 8일부터 신용대출 한도 연봉 이내 축소,
2021-09-14 17:16,집중포화 카카오 극약처방…골목상권 사업 철수·상생기금 3천억 조성(종합),
2021-09-15 6:50,"""자녀 퇴사"" ""계열사 결집""…카카오 김범수가 등판했다",
2021-09-14 14:27,"카카오, 골목상권 논란 사업 철수…상생기금 3000억 마련",
2021-09-15 17:01,"한상혁 방통위원장 ""카카오 상생안 방향 잘 잡았다""",
2021-09-15 11:10,카카오-네이버 대표이사와 대화하는 안경덕 장관,
2021-09-14 14:35,"카카오 ""골목상권 업종 철수...상생 기금 3천억 조성""",
2021-09-14 16:19,"카카오, 골목상권 침해 사업 철수...상생방안 발표",
2021-09-15 6:09,"카카오 ""골목상권 사업 철수, 3천억 상생기금""",
2021-09-15 16:39,"송갑석 ""카카오, 일회성 면피 대책…구체적 대책 빠져""",
2021-09-15 16:31,‘골목상권 침해’ 논란 카카오… 동반성장 ‘우수’ 기업?,
2021-09-15 17:28,"해외로 눈 돌린 카카오, 웹툰·소설에 '올인'",
2021-09-15 18:05,"한상혁 ""카카오 관련 실태조사·규제방식 고민하겠다""(종합)",
2021-09-15 14:55,일찍부터 상생 외친 네이버…카카오는 이제부터 시작,
2021-09-15 16:36,“기업 인수가 잘못된 일? 카카오가 연쇄 창업 일으켜”,
2021-09-15 5:02,"케이큐브홀딩스, 금융업 비중 95%…카카오에 의결권 행사 위법 가능성",
2021-09-15 17:10,"통신3사 대표 소집해 '상생' 강조한 방통위원장 ""카카오 상생안은 검토 필요""",
2021.09.15. 오후 5:18,"
			드라마 '어쩌다가 전원일기' 제작무산? 카카오 ""사실무근""
		",
2021-09-15 11:38,"네이버·카카오·엔씨 CEO 만난 고용부 장관 ""채용 늘려달라""",
2021-09-14 18:26,"바짝 엎드린 카카오, 골목상권 사업 철수",
2021-09-15 18:20,"""플랫폼을 정치적 희생물로? 카카오를 죽이지 마세요""…靑청원 등장",
2021-09-15 15:01,"사면초가 '카카오T'...대리운전사업자, '수수료 0%'에 반발",
2021-09-14 14:15,"카카오, 택시 유료호출 폐지… 꽃·간식 배달사업 철수한다",
