date,title,content,sentiment,label
2023-08-08 06:15:00,"['개미', '들', ',', '이달들어', '삼성전자', ""쓸어담아…'이차전지"", '쏠림현상', '완화', ""'""]",[],0.45,0
2023-08-08 15:34:01,"['[', '단독', ']', '삼성전자', ',', '전', '경련', '‘조건부', '복귀’', '할듯…21', '이', 'ㄹ', '비정기', '이사회', '개최']",[],0.33,0
2023-08-08 14:22:01,"['[', '초점', ']', '""', '인간형', '로봇', '만들어라""…이재용', '특명', '에', '삼성전자', '전', '사업부', ""'"", '분주', ""'""]",[],0.54,1
2023-08-07 16:51:15,"['자동차', '기업', '도', '아니', 'ㄴ데', '...', '삼성전자', ',', '유럽', '최대', '모터쇼', '가', '는', '속', '내', '는']",[],0.59,1
2023-08-08 09:01:01,"['독', '이', 'ㄹ', '이노바,', '삼성전자', '파운드리서', '스마트', 'LED', '반도체', '생산']",[],0.57,1
2023-08-08 07:26:01,"['""', '삼성전자', '주', '가', '8만원', ""'거뜬'…하반기엔"", ""'"", '이', '종목', ""'"", '특히', '추천', '""', '[', '한', '경', '재테크쇼', ']']",[],0.4,0
2023-08-08 07:21:01,"['개미', '들', ',', '이번달', '삼성전자', ""쓸어담아…'이차전지"", '쏠리', 'ㅁ', '완화', ""'""]",[],0.48,0
2023-08-07 18:25:06,"['반도체주', '오르', 'ㄴ데', '꿈쩍않', '는', '삼성전자…', '주', '가', '한달', '째', '지지부진']",[],0.55,1
2023-08-08 10:58:01,"['""', '부서별', '로', '방역', '지치', 'ㅁ', '이', '다르', '다', '?""', '…코로', '나', '재확산', '에', '삼성전자', '내부', '도', ""'"", '혼란', ""'""]",[],0.66,1
2023-08-08 15:40:50,"['[', '신간', '안내', ']', '세상', '에', '하나', '뿐', '이', 'ㄴ', '북', '매칭·2030', '삼성전자', '시나리오']",[],0.4,0
2023-08-08 07:25:01,"['더랜드,', '삼성전자', '와', '‘더팰리스', '73’', '사업', '협력', 'MOU']",[],0.56,1
2023-08-08 03:03:26,"['테마주', '열풍', '에', '삼성전자', '팔', '나', '?', '올해', '개', '이', 'ㄴ', '순매', '도', '1위']",[],0.66,1
2023-08-07 16:51:01,"['삼성전자', 'C', '랩', '출신', '옐로시스,', '스마트', '소변검사', '키트', '선보이', '어']",[],0.46,0
2023-08-08 05:01:07,"['""水·電', '문제', '에', 'TSMC', '2나노', '공장', '첫삽', '도', '못', '뜨', '어', '""', '...', '삼성전자·SK하이닉스', ""'동병상련"", ""'""]",[],0.48,0
2023-08-07 18:20:01,"['“', '이', '바닥', '냉정', ',', '아직', '도', '임원', '못', '되', '었을', '것”…공고', '출신', '연예인', '이', '보', 'ㄴ', '‘삼성전자', '임원’', '난이도']",[],0.53,1
2023-08-08 09:23:03,"['""갤Z플립5·폴드5', '해냈다""…삼성,', '폴더블', '사전', '판매량', '100만대', '첫', '돌파']",[],0.59,1
2023-08-07 23:05:01,"['원세훈,', '14일', '가석방']",[],0.57,1
2023-08-08 06:31:07,"['한반', '도', '북상', '태풍', ""'카눈'…삼성·SK,"", '반도체', '공장', '도', ""'"", '긴장', ""'""]",[],0.66,1
2023-08-08 05:01:03,"['전', '경련', '새', '회장', '에', '류진…첫', '성', '과는', '‘4대', '그룹', '복귀’', '되', 'ㄹ', '듯']",[],0.44,0
2023-08-08 13:46:01,"['갤럭시', '폴더블폰', '사전판매', '역대', '최고', '...', '플립5', '가', '폴드5', '보다', '앞서']",[],0.54,1
2023-08-08 15:03:27,"['[', '단독', ']', '휴가', '맞', '은', '이재', '용', ',', '크', '어', '나', '아', '거치', '어', '독일行…전장', '등', '논의', '하', 'ㄹ', '듯']",[],0.62,1
2023-08-08 14:20:39,"['[', '단독', ']', '삼성', ',', '전', '경련', '재가입하나', '...', '전', '경련', '총회', '전', '긴급', '임시회']",[],0.6,1
2023-08-08 00:01:09,"['류진', '회장', '전', '경련', '새', '수장', '으로', '추대…정재계', ""'"", '인맥왕', ""'"", '역하', 'ㄹ', '기대감↑']",[],0.56,1
2023-08-08 06:01:30,"['뉴진스', '파워', '?', '…안드로이드폰', '쓰', '던', '1020', ',', '절반', '이상', '아이폰으로', ""'"", '환승', ""'""]",[],0.58,1
2023-08-08 08:48:50,"['SKT', '갤럭시Z폴드·플립5', '예약자', '60', '%', '는', '20', '·', '30세대']",[],0.53,1
2023-08-07 16:52:01,"['“삼성폰이랑', '‘맞짱’', '뜬다더니”', '중국', '접는폰', '의', '‘황당한', '실체’']",[],0.48,0
2023-08-08 15:24:11,"['삼성', ""'"", '준법경영', ""'"", '강조', '하', '었지', '말', 'ㄴ', ""'"", '부정', '제보', ""'"", '늘었다…왜', '?']",[],0.49,0
2023-08-08 10:02:01,"['삼성', ',', 'AMD', '와', '손잡', '고', '시스템반도체', '비전', '발표']",[],0.55,1
2023-08-07 17:55:14,"['현대차', '전주공장', '에', ""'잼버리"", '유니폼', ""'"", '학생들…수소차', '에', '탄성']",[],0.38,0
2023-08-08 15:35:01,"['신성이엔지', '""반도체·이차전지', '투', '이', '자', '정상화…하반기', '실적', '개선', '""']",[],0.62,1
2023-08-07 22:21:01,"['반도체', '불황', '에도', '성과급', '쓰', '어는', '삼성·SK,', '왜', '?', '[', '재계', 'TALK', 'TALK', ']']",[],0.36,0
2023-08-08 08:37:01,"['SK', '그룹', '이', '어쩌', 'ㄴ', '일로…그룹주', '승자', '되', '었네', '[분석+', ']']",[],0.38,0
2023-08-08 11:11:01,"['""', '유혹', '못', '버티', '고', '결국', ""'에코프로'"", '팔았어요""…개미들', ""'술렁"", ""'""]",[],0.59,1
2023-08-08 15:04:01,"['“반도체팹', '말', 'ㄴ', '전', '기하라”', '...', '‘카눈’', '북상', '에', '삼성·SK', '비상', '체제']",[],0.55,1
2023-08-08 13:52:01,"['코스피', ',', '하락', '전환해', '2600', '선', '하회…반도체·인터넷株↓']",[],0.62,1
2023-08-08 07:30:01,"['[', '연합뉴스', '이', '시각', '헤드라인', ']', '-', '07', ':', '30']",[],0.51,1
2023-08-08 07:36:49,"['최지성·장충기', '광복절', '특별사', '이', '면', '되', '나']",[],0.46,0
